order_id,quantity,item_name,choice_description,item_price,choice_1,choice_2,choice_3,choice_4,choice_5
1,1,Chips and Fresh Tomato Salsa,,$2.39 ,,,,,
1,1,Izze,Clementine,$3.39 ,Clementine,,,,
1,1,Nantucket Nectar,Apple,$3.39 ,Apple,,,,
1,1,Chips and Tomatillo-Green Chili Salsa,,$2.39 ,,,,,
2,2,Chicken Bowl,"Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Cheese, Sour Cream",$16.98 ,Tomatillo-Red Chili Salsa (Hot),Black Beans,Rice,Cheese,Sour Cream
3,1,Chicken Bowl,"Fresh Tomato Salsa (Mild), Rice, Cheese, Sour Cream, Guacamole, Lettuce",$10.98 ,Fresh Tomato Salsa (Mild),Rice,Cheese,Sour Cream,Guacamole
3,1,Side of Chips,,$1.69 ,,,,,
4,1,Steak Burrito,"Tomatillo Red Chili Salsa, Fajita Vegetables, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce",$11.75 ,Tomatillo Red Chili Salsa,Fajita Vegetables,Black Beans,Pinto Beans,Cheese
4,1,Steak Soft Tacos,"Tomatillo Green Chili Salsa, Pinto Beans, Cheese, Sour Cream, Lettuce",$9.25 ,Tomatillo Green Chili Salsa,Pinto Beans,Cheese,Sour Cream,Lettuce
5,1,Steak Burrito,"Fresh Tomato Salsa, Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Lettuce",$9.25 ,Fresh Tomato Salsa,Rice,Black Beans,Pinto Beans,Cheese
5,1,Chips and Guacamole,,$4.45 ,,,,,
6,1,Chicken Crispy Tacos,"Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream",$8.75 ,Roasted Chili Corn Salsa,Fajita Vegetables,Rice,Black Beans,Cheese
6,1,Chicken Soft Tacos,"Roasted Chili Corn Salsa, Rice, Black Beans, Cheese, Sour Cream",$8.75 ,Roasted Chili Corn Salsa,Rice,Black Beans,Cheese,Sour Cream
7,1,Chicken Bowl,"Fresh Tomato Salsa, Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole",$11.25 ,Fresh Tomato Salsa,Fajita Vegetables,Rice,Cheese,Sour Cream
7,1,Chips and Guacamole,,$4.45 ,,,,,
8,1,Chips and Tomatillo-Green Chili Salsa,,$2.39 ,,,,,
8,1,Chicken Burrito,"Tomatillo-Green Chili Salsa (Medium), Pinto Beans, Cheese, Sour Cream",$8.49 ,Tomatillo-Green Chili Salsa (Medium),Pinto Beans,Cheese,Sour Cream,
9,1,Chicken Burrito,"Fresh Tomato Salsa (Mild), Black Beans, Rice, Cheese, Sour Cream, Lettuce",$8.49 ,Fresh Tomato Salsa (Mild),Black Beans,Rice,Cheese,Sour Cream
9,2,Canned Soda,Sprite,$2.18 ,Sprite,,,,
10,1,Chicken Bowl,"Tomatillo Red Chili Salsa, Fajita Vegetables, Black Beans, Sour Cream, Cheese, Lettuce",$8.75 ,Tomatillo Red Chili Salsa,Fajita Vegetables,Black Beans,Sour Cream,Cheese
10,1,Chips and Guacamole,,$4.45 ,,,,,
11,1,Barbacoa Burrito,"Fresh Tomato Salsa (Mild), Tomatillo-Green Chili Salsa (Medium), Tomatillo-Red Chili Salsa (Hot), Rice, Cheese, Sour Cream, Lettuce",$8.99 ,Fresh Tomato Salsa (Mild),Tomatillo-Green Chili Salsa (Medium),Tomatillo-Red Chili Salsa (Hot),Rice,Cheese
11,1,Nantucket Nectar,Pomegranate Cherry,$3.39 ,Pomegranate Cherry,,,,
12,1,Chicken Burrito,"Tomatillo-Green Chili Salsa (Medium), Tomatillo-Red Chili Salsa (Hot), Pinto Beans, Rice, Cheese, Sour Cream, Guacamole, Lettuce",$10.98 ,Tomatillo-Green Chili Salsa (Medium),Tomatillo-Red Chili Salsa (Hot),Pinto Beans,Rice,Cheese
12,1,Izze,Grapefruit,$3.39 ,Grapefruit,,,,
13,1,Chips and Fresh Tomato Salsa,,$2.39 ,,,,,
13,1,Chicken Bowl,"Roasted Chili Corn Salsa (Medium), Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce",$8.49 ,Roasted Chili Corn Salsa (Medium),Pinto Beans,Rice,Fajita Veggies,Cheese
14,1,Carnitas Burrito,"Tomatillo-Green Chili Salsa (Medium), Roasted Chili Corn Salsa (Medium), Black Beans, Rice, Sour Cream, Lettuce",$8.99 ,Tomatillo-Green Chili Salsa (Medium),Roasted Chili Corn Salsa (Medium),Black Beans,Rice,Sour Cream
14,1,Canned Soda,Dr. Pepper,$1.09 ,Dr. Pepper,,,,
15,1,Chicken Burrito,"Tomatillo-Green Chili Salsa (Medium), Pinto Beans, Rice, Cheese, Sour Cream",$8.49 ,Tomatillo-Green Chili Salsa (Medium),Pinto Beans,Rice,Cheese,Sour Cream
15,1,Chips and Tomatillo-Green Chili Salsa,,$2.39 ,,,,,
